Funds,Minimum Investment,Expense Ratio (%),Exit Load (Period),Fund Manager (Tenure)
Groww Dynamic Bond Fund - Direct Plan,500.00,0.45,--,Kaustubh Sule (2.2)
Groww Gilt Fund - Direct Plan,500.00,0.51,--,Kaustubh Sule (0.3)
Groww Liquid Fund - Direct Plan,500.00,0.10,0.01 (1),Kaustubh Sule (2.2)
Groww Nifty 1D Rate Liquid ETF,500.00,0.29,--,Kaustubh Sule (0.9)
Groww Overnight Fund - Direct Plan,500.00,0.14,--,Kaustubh Sule (2.2)
Groww Short Duration Fund - Direct Plan,500.00,0.40,--,Kaustubh Sule (2.2)
HDFC Banking and PSU Debt Fund - Direct Plan,100.00,0.39,--,Anil Bamboli (11.4)
HDFC Corporate Bond Fund - Direct Plan,100.00,0.36,--,Anupam Joshi (9.8)
HDFC Credit Risk Debt Fund - Direct Plan,100.00,1.01,1.00 (365),Shobhit Mehrotra (11.4)
HDFC CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,100.00,0.12,--,Anupam Joshi (0.2)
HDFC Dynamic Debt Fund - Direct Plan,100.00,0.75,--,Anil Bamboli (12.6)
HDFC Floating Rate Debt Fund - Direct Plan,100.00,0.26,--,Shobhit Mehrotra (12.6)
HDFC Gilt Fund - Direct Plan,100.00,0.46,--,Anil Bamboli (12.6)
HDFC Income Fund - Direct Plan,100.00,0.80,--,Shobhit Mehrotra (12.6)
HDFC Income Plus Arbitrage Active FoF - Direct Plan,100.00,0.07,--,Anil Bamboli (11.1)
HDFC Liquid Fund - Direct Plan,100.00,0.20,0.01 (1),"Anupam Joshi (9.8), Swapnil Jangam (2.8)"
HDFC Long Duration Debt Fund - Direct Plan,100.00,0.30,--,Shobhit Mehrotra (2.6)
HDFC Low Duration Fund - Direct Plan,100.00,0.45,--,"Anupam Joshi (9.8), Praveen Jain (2.8)"
HDFC Medium Term Debt Fund - Direct Plan,100.00,0.66,--,"Shobhit Mehrotra (12.6), Bhavyesh Divecha (0.4)"
HDFC Money Market Fund - Direct Plan,100.00,0.23,--,Praveen Jain (0.9)
HDFC NIFTY 1D RATE LIQUID ETF-Growth,"5,000",0.45,--,Swapnil Jangam (0.9)
HDFC Nifty G-Sec Apr 2029 Index Fund - Direct Plan,100.00,0.20,--,"Anupam Joshi (0.9), Sankalp Baid (0.4)"
HDFC Nifty G-sec Dec 2026 Index - Direct Plan,100.00,0.20,--,"Anupam Joshi (0.9), Sankalp Baid (0.4)"
HDFC Nifty G-Sec July 2031 Index - Direct Plan,100.00,0.20,--,"Anupam Joshi (0.9), Sankalp Baid (0.4)"
HDFC Nifty G-Sec Jun 2027 Index - Direct Plan,100.00,0.20,--,"Anupam Joshi (0.9), Sankalp Baid (0.4)"
HDFC NIFTY G-Sec Jun 2036 Index Fund - Direct Plan,100.00,0.20,--,"Anupam Joshi (0.9), Sankalp Baid (0.4)"
HDFC Nifty G-Sec Sep 2032 Index - Direct Plan,100.00,0.20,--,"Anupam Joshi (0.9), Sankalp Baid (0.4)"
HDFC Nifty SDL Oct 2026 Index Fund - Direct Plan,100.00,0.20,--,"Anupam Joshi (0.9), Sankalp Baid (0.4)"
HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Direct Plan,100.00,0.20,--,"Anupam Joshi (0.9), Sankalp Baid (0.4)"
HDFC Overnight Fund - Direct Plan,100.00,0.10,--,Swapnil Jangam (0.4)
HDFC Short Term Debt Fund - Direct Plan,100.00,0.40,--,Anil Bamboli (12.6)
HDFC Ultra Short Term Fund - Direct Plan,100.00,0.37,--,"Anil Bamboli (6.9), Praveen Jain (0.9)"
Helios Overnight Fund - Direct Plan,"5,000",0.13,--,"Utssav Modi (1.8), Alok Bahl (1.8)"
HSBC Banking and PSU Debt Fund - Direct Plan,"5,000",0.23,--,"Mahesh A Chhabria (2.7), Asif Rizwi (1.2)"
HSBC Corporate Bond Fund - Direct Plan,"5,000",0.30,--,"Shriram Ramanathan (11.1), Asif Rizwi (0.5)"
HSBC Credit Risk Fund - Direct Plan,"5,000",0.96,1.00 (365),Shriram Ramanathan (12.6)
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,"5,000",0.22,--,"Mahesh A Chhabria (2), Asif Rizwi (0.5)"
HSBC CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,"5,000",0.16,--,"Mahesh A Chhabria (2), Asif Rizwi (0.5)"
HSBC Dynamic Bond Fund - Direct Plan,"5,000",0.22,--,"Mahesh A Chhabria (1.2), Shriram Ramanathan (9.2)"
HSBC Gilt Fund - Direct Plan,"5,000",0.48,--,"Asif Rizwi (1.2), Shriram Ramanathan (8.3)"
HSBC Income Plus Arbitrage Active FoF - Direct Plan,"5,000",0.08,1.00 (365),"Mahesh A Chhabria (0.4), Asif Rizwi (0.4)"
HSBC Liquid Fund - Direct Plan,"5,000",0.11,0.01 (1),"Mahesh A Chhabria (0.5), Abhishek Iyer (0.3)"
HSBC Low Duration Fund - Direct Plan,"5,000",0.39,--,"Asif Rizwi (1.5), Shriram Ramanathan (12.6)"
HSBC Medium Duration Fund - Direct Plan,"5,000",0.40,--,Shriram Ramanathan (10.5)
HSBC Medium to Long Duration Fund - Direct Plan,"5,000",0.67,--,"Shriram Ramanathan (2.7), Asif Rizwi (0.5)"
HSBC Money Market Fund - Direct Plan,"5,000",0.14,--,"Mahesh A Chhabria (0.5), Abhishek Iyer (0.3)"
HSBC Overnight Fund - Direct Plan,"5,000",0.06,--,"Mahesh A Chhabria (2.7), Abhishek Iyer (0.3)"
HSBC Short Duration Fund - Direct Plan,"5,000",0.27,--,"Asif Rizwi (1.5), Shriram Ramanathan (1.2)"
HSBC Ultra Short Duration Fund - Direct Plan,"5,000",0.22,--,"Mahesh A Chhabria (2.7), Abhishek Iyer (0.3)"
ICICI Prudential All Seasons Bond Fund - Direct Plan,"5,000",0.59,0.25 (30),"Manish Banthia (12.6), Nikhil Kabra (1.5)"
ICICI Prudential Banking & PSU Debt Fund - Direct Plan,500.00,0.39,--,"Rohit Lakhotia (2.1), Manish Banthia (0.9)"
ICICI Prudential Bond Fund - Direct Plan,"5,000",0.62,--,"Ritesh Lunawat (1.5), Manish Banthia (1.5)"
ICICI Prudential BSE Liquid Rate ETF - Growth,"1,000",0.25,--,"Nikhil Kabra (0.4), Darshil Dedhia (0.4)"
ICICI Prudential BSE Liquid Rate ETF - IDCW,"5,000",0.31,--,"Nikhil Kabra (4.6), Darshil Dedhia (0.9)"
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan,"5,000",0.24,--,"Manish Banthia (1.5), Raunak Surana (1.5)"
ICICI Prudential Corporate Bond Fund - Direct Plan,100.00,0.35,--,"Manish Banthia (1.5), Ritesh Lunawat (1.5)"
ICICI Prudential Credit Risk Fund - Direct Plan,100.00,0.76,1.00 (365),"Manish Banthia (8.7), Akhil Kakkar (1.5)"
ICICI Prudential CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund - Direct Plan,"1,000",0.15,0.25 (30),"Darshil Dedhia (0.5), Rohit Lakhotia (0.5)"
ICICI Prudential CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,"1,000",0.10,--,"Nikhil Kabra (0.4), Darshil Dedhia (0.4)"
ICICI Prudential Debt Management Fund (FOF) - Direct Plan,100.00,0.41,0.25 (15),"Ritesh Lunawat (4.6), Manish Banthia (8.1)"
ICICI Prudential Floating Interest Fund - Direct Plan,500.00,0.55,--,"Darshil Dedhia (2.1), Ritesh Lunawat (0.9)"
ICICI Prudential Gilt Fund - Direct Plan,"5,000",0.56,--,"Raunak Surana (1.5), Manish Banthia (1.5)"
ICICI Prudential Income Plus Arbitrage Active FoF - Direct Plan,"5,000",0.03,--,"Ritesh Lunawat (4.6), Manish Banthia (8.1)"
ICICI Prudential Liquid Fund - Direct Plan,99.00,0.20,0.01 (1),"Darshil Dedhia (2.1), Nikhil Kabra (1.6)"
ICICI Prudential Long Term Bond Fund - Direct Plan,"5,000",0.40,--,"Manish Banthia (1.5), Raunak Surana (1.5)"
ICICI Prudential Medium Term Bond Fund - Direct Plan,"5,000",0.74,1.00 (365),"Akhil Kakkar (1.5), Manish Banthia (8.7)"
ICICI Prudential Money Market Fund - Direct Plan,500.00,0.21,--,"Nikhil Kabra (9), Manish Banthia (2.1)"
ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,"1,000",0.14,--,"Darshil Dedhia (2.6), Rohit Lakhotia (1.5)"
ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,"1,000",0.20,--,"Darshil Dedhia (1.5), Rohit Lakhotia (2.1)"
ICICI Prudential Nifty G-Sec Dec 2030 Index Fund - Direct Plan,"1,000",0.20,--,"Rohit Lakhotia (2.1), Darshil Dedhia (1.5)"
ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund- Direct Plan,"1,000",0.20,--,"Darshil Dedhia (1.5), Rohit Lakhotia (2.1)"
ICICI Prudential Nifty SDL Dec 2028 Index Fund - Direct Plan,"1,000",0.20,--,"Darshil Dedhia (1.5), Rohit Lakhotia (2.1)"
ICICI Prudential Nifty SDL Sep 2026 Index Fund - Direct Plan,"1,000",0.20,--,"Darshil Dedhia (1.5), Rohit Lakhotia (2.1)"
ICICI Prudential Nifty SDL Sep 2027 Index Fund - Direct Plan,"1,000",0.20,--,"Rohit Lakhotia (2.1), Darshil Dedhia (1.5)"
ICICI Prudential Overnight Fund - Direct Plan,100.00,0.08,--,"Darshil Dedhia (2.1), Nikhil Kabra (0.9)"
ICICI Prudential Retirement Fund - Pure Debt Plan - Direct Plan,"5,000",1.24,--,"Darshil Dedhia (1.5), Rohit Lakhotia (2.1)"
ICICI Prudential Savings Fund - Direct Plan,100.00,0.42,--,"Nikhil Kabra (0.9), Darshil Dedhia (2.1)"
ICICI Prudential Short Term Fund - Direct Plan,"5,000",0.45,--,"Nikhil Kabra (4.6), Manish Banthia (12.6)"
ICICI Prudential Ultra Short Term Fund - Direct Plan,"5,000",0.39,--,"Ritesh Lunawat (8.1), Manish Banthia (8.7)"
Invesco India Banking and PSU Fund - Direct Plan,"1,000",0.25,--,"Vikas Garg (4.8), Krishna Venkat Cheemalapati (4.6)"
Invesco India Corporate Bond Fund - Direct Plan,"1,000",0.28,--,"Vikas Garg (4.8), Krishna Venkat Cheemalapati (4.6)"
Invesco India Credit Risk Fund - Direct Plan,"1,000",0.28,4.00 (365),"Vikas Garg (4.8), Krishna Venkat Cheemalapati (4.6)"
Invesco India Gilt Fund - Direct Plan,"1,000",0.46,--,"Krishna Venkat Cheemalapati (4), Vikas Garg (4.8)"
Invesco India Income Plus Arbitrage Active FoF - Direct Plan,"1,000",--,--,"Deepak Gupta (0.1), Vikas Garg (0.1)"
Invesco India Liquid Fund - Direct Plan,"1,000",0.15,0.01 (1),Krishna Venkat Cheemalapati (12.6)
Invesco India Low Duration Fund - Direct Plan,"1,000",0.32,--,"Krishna Venkat Cheemalapati (12.6), Vikas Garg (4.6)"
Invesco India Medium Duration Fund - Direct Plan,"1,000",0.40,--,"Vikas Garg (4.1), Krishna Venkat Cheemalapati (4.1)"
Invesco India Money Market Fund - Direct Plan,"1,000",0.22,--,"Vikas Garg (4.6), Krishna Venkat Cheemalapati (5.6)"
Invesco India Nifty G-sec Jul 2027 Index Fund - Direct Plan,"1,000",0.14,0.25 (30),"Gaurav Jakhotia (0.3), Krishna Venkat Cheemalapati (2.4)"
Invesco India Nifty G-sec Sep 2032 Index Fund - Direct Plan,"1,000",0.14,0.25 (30),"Gaurav Jakhotia (0.3), Krishna Venkat Cheemalapati (2.4)"
Invesco India Overnight Fund - Direct Plan,"1,000",0.06,--,Krishna Venkat Cheemalapati (5.6)
Invesco India Short Duration Fund - Direct Plan,"1,000",0.35,--,"Gaurav Jakhotia (0.3), Vikas Garg (4.8)"
Invesco India Ultra Short Duration Fund - Direct Plan,"1,000",0.24,--,"Vikas Garg (4), Krishna Venkat Cheemalapati (5.6)"
ITI Banking and PSU Debt Fund - Direct Plan,"5,000",0.15,--,Laukik Bagwe (0.5)
ITI Dynamic Bond Fund - Direct Plan,"5,000",0.14,--,Laukik Bagwe (0.5)
ITI Liquid Fund - Direct Plan,"5,000",0.09,0.01 (1),Laukik Bagwe (0.5)
ITI Overnight Fund - Direct Plan,"5,000",0.08,--,Laukik Bagwe (0.5)
ITI Ultra Short Duration Fund - Direct Plan,"5,000",0.46,--,Laukik Bagwe (0.5)
JioBlackRock Liquid Fund - Direct Plan,500.00,--,0.01 (1),"Vikrant Mehta (0.1), Siddharth Deb (0.1), Arun Ramachandran (0.1)"
JioBlackRock Money Market Fund - Direct Plan,500.00,--,--,"Vikrant Mehta (0.1), Siddharth Deb (0.1), Arun Ramachandran (0.1)"
JioBlackRock Overnight Fund - Direct Plan,500.00,--,--,"Vikrant Mehta (0.1), Siddharth Deb (0.1), Arun Ramachandran (0.1)"
JM Dynamic Bond Fund - Direct Plan,"1,000",0.53,--,"Killol Pandya (0.7), Ruchi Fozdar (1.3), Naghma Khoja (1.3)"
JM Liquid Fund - Direct Plan,"1,000",0.16,0.01 (1),"Killol Pandya (0.7), Ruchi Fozdar (1.3), Naghma Khoja (3.8)"
JM Low Duration Fund - Direct Plan,"1,000",0.34,--,"Killol Pandya (0.7), Ruchi Fozdar (1.3), Naghma Khoja (1.3)"
JM Medium to Long Duration Fund - Direct Plan,"1,000",0.61,--,"Killol Pandya (0.7), Naghma Khoja (1.3), Ruchi Fozdar (1.3)"
JM Overnight Fund - Direct Plan,"1,000",0.08,--,"Naghma Khoja (3.3), Killol Pandya (0.7), Ruchi Fozdar (1.3)"
JM Short Duration Fund - Direct Plan,"1,000",0.37,--,"Killol Pandya (0.7), Ruchi Fozdar (1.3), Naghma Khoja (1.3)"
Kotak Banking and PSU Debt Fund - Direct Plan,100.00,0.40,--,"Deepak Agrawal (12.6), Dharmesh Thakar (0.1)"
Kotak Bond Fund - Direct Plan,100.00,0.70,--,Abhishek Bisen (12.6)
Kotak Bond - Short Term Fund - Direct Plan,100.00,0.38,--,"Deepak Agrawal (12.6), Abhishek Bisen (2.7)"
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,100.00,0.34,--,"Deepak Agrawal (10.5), Manu Sharma (2.7)"
Kotak Credit Risk Fund - Direct Plan,100.00,0.81,1.00 (365),"Sunit Garg (2.7), Deepak Agrawal (12.6)"
Kotak CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund - Direct Plan,100.00,0.09,--,Abhishek Bisen (0.5)
Kotak CRISIL IBX AAA Financial Services Index - Sep 2027 Fund - Direct Plan,100.00,0.20,0.25 (30),Abhishek Bisen (0.9)
Kotak CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,100.00,0.12,--,Manu Sharma (0.4)
Kotak Dynamic Bond Fund - Direct Plan,100.00,0.59,--,"Deepak Agrawal (12.6), Abhishek Bisen (2.7)"
Kotak Floating Rate Fund - Direct Plan,100.00,0.25,--,"Manu Sharma (2.7), Deepak Agrawal (6.2)"
Kotak Gilt Investment - Direct Plan,100.00,0.47,--,Abhishek Bisen (12.6)
Kotak Gilt Investment Provident Fund and Trust Plan - Direct Plan,100.00,0.40,--,Abhishek Bisen (12.6)
Kotak Income Plus Arbitrage FOF - Direct Plan,100.00,0.07,--,Abhishek Bisen (2.7)
Kotak Liquid - Direct Plan,100.00,0.20,0.01 (1),"Deepak Agrawal (12.6), Sunil Pandey (0.1)"
Kotak Long Duration Fund - Direct Plan,100.00,0.34,--,Abhishek Bisen (1.4)
Kotak Low Duration Fund - Standard Plan - Direct Plan,100.00,0.42,--,Deepak Agrawal (10.5)
Kotak Medium Term Fund - Direct Plan,100.00,0.67,--,"Deepak Agrawal (11.4), Vihag Mishra (0.1)"
Kotak Money Market Fund - Direct Plan,100.00,0.24,--,"Manu Sharma (2.7), Deepak Agrawal (12.6)"
Kotak Nifty 1D Rate Liquid ETF,"5,000",0.19,--,"Satish Dondapati (2.5), Abhishek Bisen (2.5)"
Kotak Nifty AAA Bond Financial Services Mar 2028 Index Fund - Direct Plan,100.00,--,--,Abhishek Bisen (0.1)
Kotak Nifty G-Sec July 2033 Index Fund - Direct Plan,100.00,0.14,--,Abhishek Bisen (1.8)
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund - Direct Plan,100.00,0.20,0.15 (30),Abhishek Bisen (3.5)
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund - Direct Plan,100.00,0.20,--,Abhishek Bisen (3.5)
Kotak Nifty SDL Jul 2026 Index Fund - Direct Plan,100.00,0.20,--,Abhishek Bisen (2.6)
Kotak Nifty SDL Jul 2033 Index Fund - Direct Plan,100.00,0.22,--,Abhishek Bisen (2.5)
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund - Direct Plan,100.00,0.21,--,Abhishek Bisen (2.8)
Kotak Overnight Fund - Direct Plan,100.00,0.08,--,"Deepak Agrawal (6.5), Sunil Pandey (0.1)"
Kotak Savings Fund - Direct Plan,100.00,0.37,--,"Deepak Agrawal (12.6), Manu Sharma (2.7)"
LIC MF Banking & PSU Fund - Direct Plan,"5,000",0.28,--,"Marzban Irani (9), Pratik Harish Shroff (1.8)"
LIC MF Gilt Fund - Direct Plan,"10,000",0.75,0.25 (30),"Marzban Irani (9), Pratik Harish Shroff (1.8)"
LIC MF Liquid Fund - Direct Plan,"5,000",0.16,0.01 (1),Rahul Singh (9.8)
LIC MF Low Duration Fund - Direct Plan,"5,000",0.25,--,Rahul Singh (9.9)
LIC MF Medium to Long Duration Fund - Direct Plan,"5,000",0.21,0.25 (15),"Pratik Harish Shroff (1.8), Marzban Irani (9)"
LIC MF Money Market Fund - Direct Plan,"5,000",0.19,--,Rahul Singh (3)
LIC MF Nifty 8-13 yr G-Sec Exchange Traded Fund,"5,000",0.16,--,"Pratik Harish Shroff (1.8), Marzban Irani (9)"
LIC MF Overnight Fund - Direct Plan,"5,000",0.07,--,Rahul Singh (6)
LIC MF Short Duration Fund - Direct Plan,"5,000",0.36,--,"Marzban Irani (6.5), Pratik Harish Shroff (1.8)"
LIC MF Ultra Short Duration Fund - Direct Plan,"5,000",0.25,--,Rahul Singh (5.7)
Mahindra Manulife Dynamic Bond Fund - Direct Plan,"1,000",0.39,--,Rahul Pal (7)
Mahindra Manulife Liquid Fund - Direct Plan,"1,000",0.14,0.01 (1),"Rahul Pal (9.1), Amit Garg (5.1)"
Mahindra Manulife Low Duration Fund - Direct Plan,"1,000",0.30,--,Rahul Pal (8.4)
Mahindra Manulife Overnight Fund - Direct Plan,"1,000",0.10,--,"Rahul Pal (6), Amit Garg (5.1)"
Mahindra Manulife Short Duration Fund - Direct Plan,"1,000",0.28,--,Rahul Pal (4.5)
Mahindra Manulife Ultra Short Duration Fund - Direct Plan,"1,000",0.28,--,"Amit Garg (5.1), Rahul Pal (5.8)"
Mirae Asset Banking and PSU Fund - Direct Plan,"5,000",0.36,--,Kruti Chheta (1.5)
Mirae Asset Corporate Bond Fund - Direct Plan,"5,000",0.24,--,Kruti Chheta (0.5)
Mirae Asset CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Direct Plan,"5,000",0.10,--,Amit Modani (0.1)
Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund - Direct Plan,"5,000",0.11,--,Amit Modani (2.5)
Mirae Asset Dynamic Bond Fund - Direct Plan,"5,000",0.16,--,Amit Modani (2.5)
Mirae Asset Income Plus Arbitrage Active FoF - Direct Plan,"5,000",--,0.25 (15),Mahendra Kumar Jajoo (0.1)
Mirae Asset Liquid Fund - Direct Plan,"5,000",0.09,0.01 (1),Amit Modani (0.7)
Mirae Asset Long Duration Fund - Direct Plan,"5,000",0.14,--,Kruti Chheta (0.7)
Mirae Asset Low Duration Fund - Direct Plan,"5,000",0.17,--,Basant Bafna (1.5)
Mirae Asset Money Market Fund - Direct Plan,"5,000",0.09,--,Amit Modani (1.9)
Mirae Asset Nifty 1D Rate Liquid ETF - Growth,"5,000",0.16,--,Amit Modani (0.7)
Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,"5,000",0.27,--,Amit Modani (2)
Mirae Asset Nifty 8-13 yr G-Sec ETF,"5,000",0.10,--,Amit Modani (2.3)
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Direct Plan,"5,000",0.14,--,Amit Modani (2.5)
Mirae Asset Nifty SDL Jun 2027 Index Fund - Direct Plan,"5,000",0.18,--,Amit Modani (2.5)
Mirae Asset Nifty SDL June 2028 Index Fund - Direct Plan,"5,000",0.12,--,Mahendra Kumar Jajoo (2.4)
Mirae Asset Overnight Fund - Direct Plan,"5,000",0.08,--,Amit Modani (0.5)
Mirae Asset Short Duration Fund - Direct Plan,"5,000",0.26,--,Basant Bafna (2.5)
Mirae Asset Ultra Short Duration Fund - Direct Plan,"5,000",0.16,--,Basant Bafna (2.5)
Motilal Oswal 5 Year G-Sec FoF - Direct Plan,500.00,0.13,--,Rakesh Shetty (2.7)
Motilal Oswal Liquid Fund - Direct Plan,500.00,0.19,0.01 (1),Rakesh Shetty (2.7)
Motilal Oswal Nifty 5 year Benchmark G-Sec ETF,500.00,0.24,--,Rakesh Shetty (2.7)
Motilal Oswal Ultra Short Term Fund - Direct Plan,500.00,0.29,--,Rakesh Shetty (2.7)
Navi Liquid Fund - Direct Plan,100.00,0.15,0.01 (1),Tanmay Sethi (1.5)
Nippon India Banking and PSU Fund - Direct Plan,"5,000",0.38,--,"Pranay Sinha (4.3), Vivek Sharma (5.1)"
Nippon India Corporate Bond Fund - Direct Plan,"1,000",0.36,--,Vivek Sharma (5.5)
Nippon India Credit Risk Fund - Direct Plan,500.00,0.70,1.00 (365),Sushil Budhia (5.5)
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct Plan,500.00,0.70,--,Sushil Budhia (5.4)
Nippon India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan,500.00,0.70,--,Sushil Budhia (5.4)
Nippon India CRISIL IBX AAA Financial Services - Dec 2026 Index Fund - Direct Plan,"1,000",0.15,--,Vivek Sharma (0.8)
Nippon India CRISIL IBX AAA Financial Services - Jan 2028 Index Fund - Direct Plan,"1,000",0.15,--,Vivek Sharma (0.8)
Nippon India Dynamic Bond Fund - Direct Plan,"5,000",0.36,--,"Vivek Sharma (5.1), Pranay Sinha (4.3)"
Nippon India ETF Nifty 1D Rate Liquid BeES,"1,00,000",0.69,--,Vikash Agarwal (0.3)
Nippon India ETF Nifty 5 yr Benchmark G-Sec,"5,000",0.09,--,Pranay Sinha (4.3)
Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,"5,000",0.10,--,Pranay Sinha (4.3)
Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,"5,000",0.20,--,Vivek Sharma (4.4)
Nippon India Floater Fund - Direct Plan,"5,000",0.35,--,Vikash Agarwal (0.9)
Nippon India Gilt Fund - Direct Plan,"5,000",0.50,1.00 (7),Pranay Sinha (4.3)
Nippon India Income Plus Arbitrage Active FoF - Direct Plan,500.00,0.07,--,"Sushil Budhia (0.1), Vikash Agarwal (0.1)"
Nippon India Liquid Fund - Direct Plan,"1,000",0.20,0.01 (1),Vikash Agarwal (0.9)
Nippon India Low Duration Fund - Direct Plan,500.00,0.38,--,Vivek Sharma (5.5)
Nippon India Medium Duration Fund - Direct Plan,"5,000",0.52,1.00 (365),Sushil Budhia (5.5)
Nippon India Medium Duration Fund - Segregated Portfolio 1 - Direct Plan,"5,000",0.52,--,Sushil Budhia (5.4)
Nippon India Medium Duration Fund - Segregated Portfolio 2 - Direct Plan,"5,000",0.52,--,Sushil Budhia (5.4)
Nippon India Medium to Long Duration Fund - Direct Plan,"5,000",0.67,0.25 (15),Vivek Sharma (5.5)
Nippon India Money Market Fund - Direct Plan,500.00,0.22,--,Vikash Agarwal (0.9)
Nippon India Nifty 1D Rate Liquid ETF - Growth,"1,000",--,--,"Vivek Sharma (0), Vikash Agarwal (0)"
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund - Direct Plan,"1,000",0.15,--,Vivek Sharma (3.3)
Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.8)
Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.7)
Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.4)
Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.7)
Nippon India Nifty SDL Plus G-Sec - Jun 2028 Maturity 70:30 Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.7)
Nippon India Nifty SDL Plus G-Sec - Jun 2029 Maturity 70:30 Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.5)
Nippon India Nivesh Lakshya Long Duration Fund - Direct Plan,"5,000",0.33,1.00 (30),Pranay Sinha (4.3)
Nippon India Overnight Fund - Direct Plan,100.00,0.08,--,Vikash Agarwal (0.3)
Nippon India Short Duration Fund - Direct Plan,100.00,0.38,--,"Sushil Budhia (4.3), Vivek Sharma (5.5)"
Nippon India Ultra Short Duration Fund - Direct Plan,100.00,0.38,--,Vivek Sharma (11.8)
Nippon India Ultra Short Duration Fund - Segregated Portfolio 1 - Direct Plan,100.00,0.38,--,Vivek Sharma (5.8)
NJ Overnight Fund - Direct Plan,"5,000",0.05,--,"Dhaval Patel (2.4), Viral Shah (2.8)"
Parag Parikh Liquid Fund - Direct Plan,"5,000",0.11,0.01 (1),"Raj Mehta (7.2), Mansi Kariya (1.6)"
PGIM India Corporate Bond Fund - Direct Plan,"5,000",0.25,--,"Puneet Pal (7.6), Bhupesh Kalyani (2.9)"
PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund - Direct Plan,"5,000",0.33,--,"Puneet Pal (2.5), Bhupesh Kalyani (2.5)"
PGIM India Dynamic Bond Fund - Direct Plan,"5,000",0.42,--,"Bhupesh Kalyani (2.9), Puneet Pal (7.6)"
PGIM India Gilt Fund - Direct Plan,"5,000",0.55,--,"Bhupesh Kalyani (2.9), Puneet Pal (7.6)"
PGIM India Liquid Fund - Direct Plan,"5,000",0.12,0.01 (1),"Bhupesh Kalyani (2.9), Puneet Pal (3)"
PGIM India Money Market Fund - Direct Plan,"5,000",0.20,--,"Puneet Pal (3), Bhupesh Kalyani (2.9)"
PGIM India Money Market Fund - Segregated Portfolio 1 - Direct Plan,"1,000",--,--,"Puneet Pal (3), Bhupesh Kalyani (2.9)"
PGIM India Overnight Fund - Direct Plan,"5,000",0.14,--,"Puneet Pal (3), Bhupesh Kalyani (2.9)"
PGIM India Ultra Short Duration Fund - Direct Plan,"5,000",0.32,--,"Puneet Pal (3), Bhupesh Kalyani (2.9)"
Quant Gilt Fund - Direct Plan,"5,000",0.51,--,"Sanjeev Sharma (2.6), Harshvardhan Bharatia (0.5)"
Quant Liquid - Direct Plan,"5,000",0.25,0.01 (1),"Sanjeev Sharma (5.8), Harshvardhan Bharatia (0.5)"
Quant Overnight Fund - Direct Plan,"5,000",0.14,--,"Sanjeev Sharma (2.6), Harshvardhan Bharatia (0.5)"
Quantum Dynamic Bond Fund - Direct Plan,500.00,0.51,--,"Sneha Pandey (0.3), Mayur Chauhan (0.1)"
Quantum Liquid Fund - Direct Plan,"5,000",0.15,0.01 (1),"Sneha Pandey (0.3), Mayur Chauhan (0.1)"
