Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Groww Dynamic Bond Fund - Direct Plan,0.28,4/23,0.77,6/23,-0.15,19/23,3.87,22/23,8.24,21/23
Groww Gilt Fund - Direct Plan,0.33,5/25,0.88,7/25,--,--,--,--,--,--
Groww Liquid Fund - Direct Plan,0.10,5/40,0.49,13/39,1.57,14/38,3.52,1/38,7.22,2/37
Groww Nifty 1D Rate Liquid ETF,0.10,46/52,0.40,49/52,1.26,48/51,2.72,45/49,--,--
Groww Overnight Fund - Direct Plan,0.10,28/37,0.43,30/35,1.35,30/35,2.89,28/34,6.25,27/34
Groww Short Duration Fund - Direct Plan,0.18,8/26,0.64,13/26,2.13,2/26,5.44,4/25,9.64,13/25
HDFC Banking and PSU Debt Fund - Direct Plan,0.18,10/22,0.63,9/22,1.81,12/22,5.25,9/22,9.45,7/22
HDFC Corporate Bond Fund - Direct Plan,0.21,7/21,0.64,13/21,1.74,17/21,5.17,16/21,9.64,12/21
HDFC Credit Risk Debt Fund - Direct Plan,0.23,5/14,0.80,5/14,2.19,9/14,5.13,11/14,9.61,9/14
HDFC CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,0.12,8/30,0.62,2/30,--,--,--,--,--,--
HDFC Dynamic Debt Fund - Direct Plan,0.26,5/23,0.82,4/23,0.38,14/23,4.50,16/23,8.96,13/23
HDFC Floating Rate Debt Fund - Direct Plan,0.16,4/12,0.63,8/12,2.06,4/12,4.95,7/12,9.18,8/12
HDFC Gilt Fund - Direct Plan,0.22,19/25,0.75,15/25,0.20,6/24,4.74,5/24,9.35,5/23
HDFC Income Fund - Direct Plan,0.16,9/14,0.53,8/14,0.58,9/14,4.80,8/14,9.23,6/13
HDFC Income Plus Arbitrage Active FoF - Direct Plan,0.18,9/21,0.59,9/19,1.63,12/14,1.98,--,1.59,--
HDFC Liquid Fund - Direct Plan,0.10,23/40,0.48,19/39,1.55,27/38,3.48,13/38,7.15,23/37
HDFC Long Duration Debt Fund - Direct Plan,0.37,6/11,1.14,2/11,-0.95,7/11,3.67,8/11,7.77,5/9
HDFC Low Duration Fund - Direct Plan,0.13,12/24,0.61,13/23,2.02,6/23,4.62,3/20,8.55,5/20
HDFC Medium Term Debt Fund - Direct Plan,0.22,3/13,0.75,5/13,1.75,8/13,5.30,8/13,9.73,8/13
HDFC Money Market Fund - Direct Plan,0.11,6/25,0.57,20/24,1.90,8/24,4.38,7/23,8.21,9/23
HDFC NIFTY 1D RATE LIQUID ETF-Growth,0.09,49/52,0.39,51/52,1.23,50/51,2.61,48/49,5.72,45/46
HDFC Nifty G-Sec Apr 2029 Index Fund - Direct Plan,0.05,99/103,0.49,75/102,1.94,59/102,5.52,23/98,9.94,29/88
HDFC Nifty G-sec Dec 2026 Index - Direct Plan,0.11,64/103,0.43,94/102,1.86,72/102,4.39,84/98,8.27,76/88
HDFC Nifty G-Sec July 2031 Index - Direct Plan,0.20,10/103,0.62,27/102,1.47,86/102,6.06,2/98,10.88,8/88
HDFC Nifty G-Sec Jun 2027 Index - Direct Plan,0.09,81/103,0.53,49/102,2.04,39/102,4.83,61/98,8.89,56/88
HDFC NIFTY G-Sec Jun 2036 Index Fund - Direct Plan,0.18,17/103,0.50,69/102,0.93,99/102,5.63,17/98,10.51,16/88
HDFC Nifty G-Sec Sep 2032 Index - Direct Plan,0.24,9/103,0.73,8/102,1.41,88/102,6.12,1/98,11.01,2/88
HDFC Nifty SDL Oct 2026 Index Fund - Direct Plan,0.13,41/103,0.53,48/102,1.95,55/102,4.37,85/98,8.32,73/88
HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Direct Plan,0.09,85/103,0.50,71/102,2.04,45/102,4.76,70/98,8.87,60/88
HDFC Overnight Fund - Direct Plan,0.10,29/37,0.43,25/35,1.36,26/35,2.90,23/34,6.26,25/34
HDFC Short Term Debt Fund - Direct Plan,0.16,14/26,0.63,16/26,2.01,14/26,5.23,15/25,9.59,16/25
HDFC Ultra Short Term Fund - Direct Plan,0.12,7/30,0.58,13/30,1.83,11/29,4.08,11/26,7.88,11/24
Helios Overnight Fund - Direct Plan,0.10,34/37,0.43,33/35,1.34,33/35,2.86,32/34,6.20,31/34
HSBC Banking and PSU Debt Fund - Direct Plan,0.18,8/22,0.65,6/22,2.01,4/22,5.29,5/22,9.13,17/22
HSBC Corporate Bond Fund - Direct Plan,0.18,13/21,0.77,2/21,2.22,3/21,5.50,7/21,9.81,10/21
HSBC Credit Risk Fund - Direct Plan,0.13,10/14,0.60,10/14,13.07,1/14,17.70,2/14,22.36,2/14
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,0.09,84/103,0.57,37/102,2.16,20/102,5.23,41/98,9.54,39/88
HSBC CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,0.11,67/103,0.53,46/102,2.04,40/102,4.82,62/98,8.88,58/88
HSBC Dynamic Bond Fund - Direct Plan,0.19,14/23,0.59,14/23,0.24,15/23,4.78,13/23,9.38,11/23
HSBC Gilt Fund - Direct Plan,0.16,24/25,0.58,22/25,-0.65,17/24,4.06,16/24,8.29,16/23
HSBC Income Plus Arbitrage Active FoF - Direct Plan,0.15,15/21,0.63,3/19,1.49,13/14,3.67,--,7.15,--
HSBC Liquid Fund - Direct Plan,0.10,26/40,0.49,14/39,1.58,2/38,3.49,10/38,7.20,10/37
HSBC Low Duration Fund - Direct Plan,0.13,16/24,0.61,11/23,3.24,1/23,5.90,1/20,9.86,1/20
HSBC Medium Duration Fund - Direct Plan,0.20,6/13,0.69,6/13,1.88,7/13,5.59,6/13,10.12,6/13
HSBC Medium to Long Duration Fund - Direct Plan,0.14,11/14,0.48,10/14,0.58,10/14,4.81,7/14,9.21,7/13
HSBC Money Market Fund - Direct Plan,0.12,1/25,0.58,19/24,1.89,15/24,4.32,17/23,8.12,16/23
HSBC Overnight Fund - Direct Plan,0.10,25/37,0.43,13/35,1.37,14/35,2.94,16/34,6.33,13/34
HSBC Short Duration Fund - Direct Plan,0.15,22/26,0.62,18/26,2.03,11/26,5.38,8/25,9.57,18/25
HSBC Ultra Short Duration Fund - Direct Plan,0.11,12/30,0.57,16/30,1.81,16/29,4.06,13/26,7.83,14/24
ICICI Prudential All Seasons Bond Fund - Direct Plan,0.18,16/23,0.75,7/23,1.59,4/23,5.45,3/23,10.18,3/23
ICICI Prudential Banking & PSU Debt Fund - Direct Plan,0.13,20/22,0.62,13/22,1.76,16/22,5.02,17/22,9.12,18/22
ICICI Prudential Bond Fund - Direct Plan,0.22,5/14,0.79,3/14,1.32,3/14,5.57,2/14,10.29,2/13
ICICI Prudential BSE Liquid Rate ETF - Growth,0.10,20/52,0.42,41/52,1.31,40/51,--,--,--,--
ICICI Prudential BSE Liquid Rate ETF - IDCW,0.10,39/52,0.41,44/52,1.30,44/51,2.77,42/49,6.01,38/46
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan,0.00,4/5,0.31,3/5,1.15,1/5,5.88,1/5,10.93,1/5
ICICI Prudential Corporate Bond Fund - Direct Plan,0.15,16/21,0.64,11/21,1.92,11/21,5.17,17/21,9.33,18/21
ICICI Prudential Credit Risk Fund - Direct Plan,0.29,2/14,0.93,4/14,2.59,5/14,5.64,7/14,10.24,6/14
ICICI Prudential CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund - Direct Plan,0.14,36/103,0.68,17/102,2.03,46/102,--,--,--,--
ICICI Prudential CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,0.11,20/30,0.57,17/30,1.76,23/29,--,--,--,--
ICICI Prudential Debt Management Fund (FOF) - Direct Plan,0.19,7/14,0.73,5/14,1.65,1/14,5.15,5/14,9.41,4/13
ICICI Prudential Floating Interest Fund - Direct Plan,0.13,9/12,0.57,10/12,2.04,5/12,4.77,9/12,9.03,9/12
ICICI Prudential Gilt Fund - Direct Plan,0.19,23/25,0.64,18/25,1.23,2/24,5.66,2/24,10.22,4/23
ICICI Prudential Income Plus Arbitrage Active FoF - Direct Plan,0.13,19/21,0.58,12/19,1.81,4/14,4.20,--,7.86,--
ICICI Prudential Liquid Fund - Direct Plan,0.10,34/40,0.48,24/39,1.56,23/38,3.47,18/38,7.16,22/37
ICICI Prudential Long Term Bond Fund - Direct Plan,0.38,4/11,0.95,8/11,0.48,1/11,5.40,1/11,10.57,1/9
ICICI Prudential Medium Term Bond Fund - Direct Plan,0.29,1/13,0.86,2/13,2.23,4/13,5.61,5/13,10.31,4/13
ICICI Prudential Money Market Fund - Direct Plan,0.11,12/25,0.58,13/24,1.90,11/24,4.38,9/23,8.20,10/23
ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,-0.07,6/9,0.03,7/9,1.10,4/9,5.55,5/9,10.54,3/8
ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,0.05,30/35,0.48,28/35,2.02,1/34,6.01,1/34,10.64,5/33
ICICI Prudential Nifty G-Sec Dec 2030 Index Fund - Direct Plan,0.10,74/103,0.56,39/102,1.64,84/102,5.67,15/98,10.31,23/88
ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund- Direct Plan,0.15,29/103,0.50,66/102,2.20,13/102,5.10,47/98,9.25,42/88
ICICI Prudential Nifty SDL Dec 2028 Index Fund - Direct Plan,0.05,97/103,0.60,31/102,2.44,2/102,5.84,10/98,10.40,21/88
ICICI Prudential Nifty SDL Sep 2026 Index Fund - Direct Plan,0.12,53/103,0.50,67/102,1.95,57/102,4.33,86/98,8.27,77/88
ICICI Prudential Nifty SDL Sep 2027 Index Fund - Direct Plan,0.15,27/103,0.44,89/102,2.15,21/102,5.00,51/98,9.22,43/88
ICICI Prudential Overnight Fund - Direct Plan,0.10,14/37,0.43,14/35,1.37,19/35,2.93,18/34,6.31,21/34
ICICI Prudential Retirement Fund - Pure Debt Plan - Direct Plan,0.12,21/23,0.55,16/23,1.31,5/23,4.65,14/23,8.89,16/23
ICICI Prudential Savings Fund - Direct Plan,0.13,14/24,0.60,20/23,1.98,9/23,4.51,8/20,8.45,10/20
ICICI Prudential Short Term Fund - Direct Plan,0.16,17/26,0.67,7/26,2.05,8/26,5.33,11/25,9.61,14/25
ICICI Prudential Ultra Short Term Fund - Direct Plan,0.12,3/30,0.59,6/30,1.91,2/29,4.18,4/26,8.03,6/24
Invesco India Banking and PSU Fund - Direct Plan,0.15,17/22,0.54,21/22,1.64,19/22,5.08,15/22,9.35,10/22
Invesco India Corporate Bond Fund - Direct Plan,0.19,12/21,0.66,7/21,1.88,14/21,5.44,9/21,9.84,9/21
Invesco India Credit Risk Fund - Direct Plan,0.12,11/14,0.58,11/14,1.77,12/14,7.17,4/14,11.60,4/14
Invesco India Gilt Fund - Direct Plan,0.24,14/25,0.82,10/25,-0.59,15/24,4.17,14/24,8.39,15/23
Invesco India Income Plus Arbitrage Active FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Invesco India Liquid Fund - Direct Plan,0.10,20/40,0.48,22/39,1.57,15/38,3.46,21/38,7.17,19/37
Invesco India Low Duration Fund - Direct Plan,0.13,10/24,0.61,12/23,1.97,13/23,4.38,20/20,8.25,17/20
Invesco India Medium Duration Fund - Direct Plan,0.13,9/13,0.54,11/13,1.58,10/13,5.18,9/13,9.49,10/13
Invesco India Money Market Fund - Direct Plan,0.11,15/25,0.58,17/24,1.88,20/24,4.31,18/23,8.04,18/23
Invesco India Nifty G-sec Jul 2027 Index Fund - Direct Plan,0.11,66/103,0.53,45/102,2.04,41/102,4.82,63/98,8.89,57/88
Invesco India Nifty G-sec Sep 2032 Index Fund - Direct Plan,0.19,13/103,0.66,20/102,1.40,90/102,6.02,4/98,10.91,6/88
Invesco India Overnight Fund - Direct Plan,0.10,13/37,0.43,15/35,1.37,13/35,2.93,19/34,6.31,18/34
Invesco India Short Duration Fund - Direct Plan,0.19,5/26,0.67,4/26,2.08,7/26,5.34,9/25,9.61,15/25
Invesco India Ultra Short Duration Fund - Direct Plan,0.12,5/30,0.58,15/30,1.84,8/29,4.09,10/26,7.95,8/24
ITI Banking and PSU Debt Fund - Direct Plan,0.10,22/22,0.50,22/22,1.73,18/22,4.72,21/22,8.75,21/22
ITI Dynamic Bond Fund - Direct Plan,-0.01,23/23,0.07,23/23,0.13,17/23,4.06,20/23,8.86,18/23
ITI Liquid Fund - Direct Plan,0.10,4/40,0.47,33/39,1.55,29/38,3.39,31/38,6.99,31/37
ITI Overnight Fund - Direct Plan,0.10,36/37,0.43,34/35,1.33,34/35,2.83,33/34,6.10,33/34
ITI Ultra Short Duration Fund - Direct Plan,0.11,27/30,0.51,29/30,1.70,28/29,3.80,25/26,7.54,23/24
JioBlackRock Liquid Fund - Direct Plan,0.10,6/40,--,--,--,--,--,--,--,--
JioBlackRock Money Market Fund - Direct Plan,0.10,25/25,--,--,--,--,--,--,--,--
JioBlackRock Overnight Fund - Direct Plan,0.10,8/37,--,--,--,--,--,--,--,--
JM Dynamic Bond Fund - Direct Plan,0.15,19/23,0.45,21/23,0.86,9/23,5.39,4/23,9.91,5/23
JM Liquid Fund - Direct Plan,0.10,31/40,0.48,32/39,1.56,24/38,3.43,28/38,7.09,29/37
JM Low Duration Fund - Direct Plan,0.14,5/24,0.60,16/23,1.93,21/23,4.41,15/20,8.32,15/20
JM Medium to Long Duration Fund - Direct Plan,0.03,14/14,0.27,14/14,1.10,5/14,5.38,4/14,9.76,3/13
JM Overnight Fund - Direct Plan,0.10,35/37,0.43,28/35,1.35,31/35,2.88,29/34,6.23,29/34
JM Short Duration Fund - Direct Plan,0.17,13/26,0.62,19/26,1.95,18/26,5.19,18/25,9.30,21/25
Kotak Banking and PSU Debt Fund - Direct Plan,0.21,5/22,0.62,14/22,1.85,8/22,5.25,8/22,9.55,5/22
Kotak Bond Fund - Direct Plan,0.25,3/14,0.62,6/14,1.04,6/14,4.88,6/14,9.31,5/13
Kotak Bond - Short Term Fund - Direct Plan,0.15,24/26,0.59,24/26,1.90,22/26,5.29,13/25,9.70,9/25
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,0.19,11/21,0.65,9/21,1.97,7/21,5.43,10/21,9.88,7/21
Kotak Credit Risk Fund - Direct Plan,0.34,1/14,0.99,3/14,2.76,3/14,5.87,6/14,9.18,12/14
Kotak CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund - Direct Plan,0.13,42/103,0.68,18/102,2.09,27/102,--,--,--,--
Kotak CRISIL IBX AAA Financial Services Index - Sep 2027 Fund - Direct Plan,0.16,24/103,0.73,9/102,2.19,15/102,5.24,40/98,--,--
Kotak CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,0.11,22/30,0.57,18/30,1.72,27/29,--,--,--,--
Kotak Dynamic Bond Fund - Direct Plan,0.33,3/23,1.05,2/23,0.68,11/23,4.87,11/23,9.42,10/23
Kotak Floating Rate Fund - Direct Plan,0.17,3/12,0.66,4/12,2.27,1/12,5.29,3/12,9.72,3/12
Kotak Gilt Investment - Direct Plan,0.33,4/25,1.03,4/25,-0.91,22/24,3.71,23/24,8.13,21/23
Kotak Gilt Investment Provident Fund and Trust Plan - Direct Plan,0.33,3/25,1.03,3/25,-0.91,23/24,3.71,22/24,8.13,20/23
Kotak Income Plus Arbitrage FOF - Direct Plan,0.15,16/21,0.58,11/19,1.78,8/14,4.56,1/6,8.94,--
Kotak Liquid - Direct Plan,0.10,9/40,0.49,8/39,1.57,7/38,3.49,11/38,7.17,20/37
Kotak Long Duration Fund - Direct Plan,0.59,2/11,1.09,4/11,-0.79,4/11,3.87,5/11,8.07,4/9
Kotak Low Duration Fund - Standard Plan - Direct Plan,0.14,8/24,0.64,3/23,2.04,3/23,4.63,2/20,8.71,2/20
Kotak Medium Term Fund - Direct Plan,0.28,2/13,0.81,4/13,2.33,3/13,5.75,4/13,10.77,3/13
Kotak Money Market Fund - Direct Plan,0.11,20/25,0.57,22/24,1.88,17/24,4.35,14/23,8.16,12/23
Kotak Nifty 1D Rate Liquid ETF,0.10,18/52,0.42,40/52,1.33,39/51,2.84,38/49,6.14,37/46
Kotak Nifty AAA Bond Financial Services Mar 2028 Index Fund - Direct Plan,0.17,22/103,--,--,--,--,--,--,--,--
Kotak Nifty G-Sec July 2033 Index Fund - Direct Plan,0.19,14/103,0.64,23/102,1.39,92/102,5.80,11/98,10.76,10/88
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund - Direct Plan,0.08,87/103,0.45,82/102,2.04,42/102,4.68,76/98,8.84,61/88
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund - Direct Plan,0.73,1/103,0.66,19/102,1.93,61/102,5.98,7/98,11.00,3/88
Kotak Nifty SDL Jul 2026 Index Fund - Direct Plan,0.11,57/103,0.51,60/102,1.91,66/102,4.25,88/98,8.16,78/88
Kotak Nifty SDL Jul 2033 Index Fund - Direct Plan,0.49,4/103,0.17,101/102,1.03,97/102,5.20,42/98,10.40,20/88
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund - Direct Plan,0.13,44/103,0.64,22/102,2.31,4/102,5.51,24/98,9.81,33/88
Kotak Overnight Fund - Direct Plan,0.10,7/37,0.44,6/35,1.38,5/35,2.94,5/34,6.34,5/34
Kotak Savings Fund - Direct Plan,0.11,15/30,0.59,7/30,1.83,10/29,4.10,9/26,7.86,13/24
LIC MF Banking & PSU Fund - Direct Plan,0.17,12/22,0.63,11/22,1.90,5/22,5.51,2/22,9.77,2/22
LIC MF Gilt Fund - Direct Plan,0.30,7/25,0.88,8/25,-0.80,20/24,3.92,20/24,8.16,19/23
LIC MF Liquid Fund - Direct Plan,0.10,15/40,0.48,25/39,1.56,19/38,3.45,23/38,7.12,26/37
LIC MF Low Duration Fund - Direct Plan,0.12,19/24,0.62,10/23,1.91,23/23,4.40,16/20,8.33,14/20
LIC MF Medium to Long Duration Fund - Direct Plan,0.32,1/14,0.46,12/14,1.39,2/14,5.63,1/14,10.73,1/13
LIC MF Money Market Fund - Direct Plan,0.11,19/25,0.58,10/24,1.89,14/24,3.94,23/23,7.08,23/23
LIC MF Nifty 8-13 yr G-Sec Exchange Traded Fund,-0.02,35/35,0.27,33/35,1.16,7/34,5.61,5/34,10.73,3/33
LIC MF Overnight Fund - Direct Plan,0.10,9/37,0.44,11/35,1.37,18/35,2.94,7/34,6.33,8/34
LIC MF Short Duration Fund - Direct Plan,0.16,16/26,0.67,6/26,2.01,13/26,5.40,6/25,9.72,8/25
LIC MF Ultra Short Duration Fund - Direct Plan,0.11,25/30,0.57,19/30,1.79,19/29,3.99,21/26,7.78,16/24
Mahindra Manulife Dynamic Bond Fund - Direct Plan,0.21,10/23,0.74,8/23,1.19,7/23,5.15,7/23,9.51,9/23
Mahindra Manulife Liquid Fund - Direct Plan,0.10,19/40,0.49,12/39,1.57,8/38,3.46,20/38,7.18,14/37
Mahindra Manulife Low Duration Fund - Direct Plan,0.15,2/24,0.64,4/23,1.96,14/23,4.48,9/20,8.48,9/20
Mahindra Manulife Overnight Fund - Direct Plan,0.10,18/37,0.43,23/35,1.37,10/35,2.94,12/34,6.33,12/34
Mahindra Manulife Short Duration Fund - Direct Plan,0.23,1/26,0.64,12/26,1.98,15/26,5.20,17/25,9.65,12/25
Mahindra Manulife Ultra Short Duration Fund - Direct Plan,0.11,28/30,0.56,26/30,1.82,15/29,4.04,15/26,7.87,12/24
Mirae Asset Banking and PSU Fund - Direct Plan,0.13,19/22,0.58,17/22,1.52,20/22,5.02,18/22,9.28,13/22
Mirae Asset Corporate Bond Fund - Direct Plan,0.14,18/21,0.61,17/21,1.61,20/21,5.20,15/21,9.50,17/21
Mirae Asset CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Direct Plan,0.13,9/24,--,--,--,--,--,--,--,--
Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund - Direct Plan,0.20,11/103,0.68,16/102,1.39,91/102,5.85,9/98,10.93,5/88
Mirae Asset Dynamic Bond Fund - Direct Plan,0.11,22/23,0.54,17/23,2.13,2/23,4.85,12/23,8.92,15/23
Mirae Asset Income Plus Arbitrage Active FoF - Direct Plan,0.12,21/21,--,--,--,--,--,--,--,--
Mirae Asset Liquid Fund - Direct Plan,0.10,28/40,0.48,18/39,1.57,10/38,3.47,19/38,7.18,16/37
Mirae Asset Long Duration Fund - Direct Plan,0.35,7/11,1.06,6/11,-0.86,5/11,3.76,6/11,--,--
Mirae Asset Low Duration Fund - Direct Plan,0.13,11/24,0.60,15/23,2.01,7/23,4.52,7/20,8.50,8/20
Mirae Asset Money Market Fund - Direct Plan,0.11,17/25,0.58,8/24,1.92,4/24,4.39,6/23,8.31,2/23
Mirae Asset Nifty 1D Rate Liquid ETF - Growth,0.10,12/52,0.42,39/52,1.33,38/51,2.83,39/49,--,--
Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,0.10,30/52,0.41,43/52,1.30,45/51,2.75,44/49,5.96,41/46
Mirae Asset Nifty 8-13 yr G-Sec ETF,-0.01,33/35,0.26,34/35,1.14,8/34,5.59,6/34,10.71,4/33
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Direct Plan,0.11,61/103,0.51,65/102,1.82,77/102,4.19,91/98,8.01,80/88
Mirae Asset Nifty SDL Jun 2027 Index Fund - Direct Plan,0.09,83/103,0.45,85/102,2.07,32/102,4.78,68/98,8.99,50/88
Mirae Asset Nifty SDL June 2028 Index Fund - Direct Plan,0.09,82/103,0.61,29/102,2.35,3/102,5.51,25/98,10.05,25/88
Mirae Asset Overnight Fund - Direct Plan,0.10,12/37,0.44,7/35,1.38,8/35,2.94,10/34,6.33,11/34
Mirae Asset Short Duration Fund - Direct Plan,0.19,6/26,0.64,11/26,1.95,17/26,5.39,7/25,9.77,6/25
Mirae Asset Ultra Short Duration Fund - Direct Plan,0.11,23/30,0.59,8/30,1.88,4/29,4.12,7/26,8.04,4/24
Motilal Oswal 5 Year G-Sec FoF - Direct Plan,0.07,25/25,0.48,24/25,1.96,1/24,5.81,1/24,10.96,1/23
Motilal Oswal Liquid Fund - Direct Plan,0.10,40/40,0.45,37/39,1.47,37/38,3.22,34/38,6.71,36/37
Motilal Oswal Nifty 5 year Benchmark G-Sec ETF,0.05,32/35,0.48,29/35,1.71,5/34,5.57,7/34,10.06,9/33
Motilal Oswal Ultra Short Term Fund - Direct Plan,0.10,30/30,0.46,30/30,1.56,29/29,3.25,26/26,6.53,24/24
Navi Liquid Fund - Direct Plan,0.10,37/40,0.49,11/39,1.50,35/38,3.18,37/38,6.75,35/37
Nippon India Banking and PSU Fund - Direct Plan,0.19,6/22,0.62,12/22,1.80,14/22,5.37,4/22,9.54,6/22
Nippon India Corporate Bond Fund - Direct Plan,0.20,10/21,0.66,8/21,1.93,9/21,5.62,4/21,10.19,4/21
Nippon India Credit Risk Fund - Direct Plan,0.18,6/14,1.04,2/14,2.69,4/14,5.97,5/14,10.69,5/14
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India CRISIL IBX AAA Financial Services - Dec 2026 Index Fund - Direct Plan,0.13,43/103,0.73,7/102,2.13,24/102,4.91,56/98,--,--
Nippon India CRISIL IBX AAA Financial Services - Jan 2028 Index Fund - Direct Plan,0.17,21/103,0.77,3/102,2.25,5/102,5.42,29/98,--,--
Nippon India Dynamic Bond Fund - Direct Plan,0.18,17/23,0.43,22/23,1.81,3/23,5.66,2/23,10.39,2/23
Nippon India ETF Nifty 1D Rate Liquid BeES,0.09,51/52,0.38,52/52,1.20,51/51,2.57,49/49,5.58,46/46
Nippon India ETF Nifty 5 yr Benchmark G-Sec,0.05,29/35,0.50,25/35,1.79,3/34,5.81,2/34,10.39,6/33
Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,-0.01,34/35,0.26,35/35,1.16,6/34,5.63,4/34,10.77,2/33
Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,0.12,47/109,0.46,81/108,1.73,83/108,3.89,99/104,7.72,88/94
Nippon India Floater Fund - Direct Plan,0.15,6/12,0.65,5/12,2.08,3/12,5.26,4/12,9.65,5/12
Nippon India Gilt Fund - Direct Plan,0.27,11/25,0.77,13/25,-0.34,11/24,4.18,13/24,8.66,11/23
Nippon India Income Plus Arbitrage Active FoF - Direct Plan,0.16,13/21,0.60,7/19,--,--,--,--,--,--
Nippon India Liquid Fund - Direct Plan,0.10,17/40,0.49,5/39,1.58,1/38,3.50,8/38,7.19,12/37
Nippon India Low Duration Fund - Direct Plan,0.13,18/24,0.63,5/23,2.02,5/23,4.53,6/20,8.59,4/20
Nippon India Medium Duration Fund - Direct Plan,0.16,7/13,2.85,1/13,3.67,1/13,7.21,2/13,11.95,2/13
Nippon India Medium Duration Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Medium Duration Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Medium to Long Duration Fund - Direct Plan,0.25,4/14,0.82,2/14,0.53,11/14,4.55,11/14,8.89,10/13
Nippon India Money Market Fund - Direct Plan,0.12,2/25,0.59,2/24,1.93,1/24,4.42,2/23,8.24,6/23
Nippon India Nifty 1D Rate Liquid ETF - Growth,--,--,--,--,--,--,--,--,--,--
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund - Direct Plan,0.11,58/103,0.54,44/102,2.06,34/102,4.75,72/98,8.78,64/88
Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund - Direct Plan,0.11,55/103,0.53,47/102,1.93,60/102,4.41,83/98,8.31,74/88
Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund - Direct Plan,0.15,30/103,0.45,86/102,0.93,98/102,5.68,14/98,10.60,14/88
Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund - Direct Plan,0.06,94/103,0.51,61/102,2.05,38/102,5.32,35/98,9.58,38/88
Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund - Direct Plan,0.09,77/103,0.52,54/102,2.03,47/102,4.84,60/98,8.90,55/88
Nippon India Nifty SDL Plus G-Sec - Jun 2028 Maturity 70:30 Index Fund - Direct Plan,0.10,72/103,0.58,34/102,2.23,9/102,5.30,37/98,9.67,36/88
Nippon India Nifty SDL Plus G-Sec - Jun 2029 Maturity 70:30 Index Fund - Direct Plan,0.04,101/103,0.39,96/102,1.86,73/102,5.42,30/98,10.00,27/88
Nippon India Nivesh Lakshya Long Duration Fund - Direct Plan,0.70,1/11,1.10,3/11,0.09,2/11,4.51,3/11,9.04,3/9
Nippon India Overnight Fund - Direct Plan,0.10,15/37,0.44,12/35,1.38,7/35,2.96,4/34,6.35,4/34
Nippon India Short Duration Fund - Direct Plan,0.18,9/26,0.66,8/26,2.15,1/26,5.49,2/25,10.03,2/25
Nippon India Ultra Short Duration Fund - Direct Plan,0.11,13/30,0.60,3/30,1.88,5/29,4.16,5/26,8.12,2/24
Nippon India Ultra Short Duration Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
NJ Overnight Fund - Direct Plan,0.10,27/37,0.44,9/35,1.36,25/35,2.90,25/34,6.24,28/34
Parag Parikh Liquid Fund - Direct Plan,0.10,24/40,0.47,34/39,1.53,32/38,3.30,33/38,6.82,33/37
