Funds,Minimum Investment,Expense Ratio (%),Exit Load (Period),Fund Manager (Tenure)
Parag Parikh Dynamic Asset Allocation Fund - Direct Plan,"5,000",0.33,1.00 (365),"Raunak Onkar (1.4), Rajeev Thakkar (1.4), Rukun Tarachandani (1.4), Raj Mehta (1.4), Mansi Kariya (1.4)"
PGIM India Aggressive Hybrid Equity Fund - Direct Plan,"5,000",0.77,0.50 (90),"Puneet Pal (2.3), Vivek Sharma (1.3), Vinay Paharia (2.3), Anandha Padmanabhan Anjeneyan (1.9)"
PGIM India Arbitrage Fund - Direct Plan,"5,000",0.39,0.25 (30),"Puneet Pal (3.3), Chetan Chavan (1.3)"
PGIM India Balanced Advantage Fund - Direct Plan,"5,000",0.47,0.50 (90),"Vinay Paharia (2.3), Puneet Pal (3.7), Utsav Mehta (1.3), Anandha Padmanabhan Anjeneyan (2.3)"
PGIM India Equity Savings Fund - Direct Plan,"5,000",0.58,--,"Anandha Padmanabhan Anjeneyan (3.2), Vinay Paharia (2.3), Puneet Pal (3.7), Vivek Sharma (1.3)"
Quant Aggressive Hybrid Fund - Direct Plan,"5,000",0.68,1.00 (15),"Ankit A Pande (5.2), Sandeep Tandon (0.5), Lokesh Garg (0.5), Sanjeev Sharma (5.8), Varun Pattani (0.4), Ayusha Kumbhat (0.4), Sameer Kate (0.4), Yug Tibrewal (0.4)"
Quant Arbitrage Fund - Direct Plan,"5,000",0.37,0.25 (30),"Sanjeev Sharma (0.4), Sameer Kate (0.4), Yug Tibrewal (0.4)"
Quant Dynamic Asset Allocation Fund - Direct Plan,"5,000",0.68,1.00 (15),"Sameer Kate (0.5), Sandeep Tandon (2.3), Ankit A Pande (2.3), Sanjeev Sharma (2.3), Varun Pattani (0.4), Ayusha Kumbhat (0.4), Yug Tibrewal (0.4)"
Quant Equity Savings Fund - Direct Plan,"5,000",--,1.00 (15),"Sanjeev Sharma (0.1), Ankit A Pande (0.1), Varun Pattani (0.1), Ayusha Kumbhat (0.1), Harshvardhan Bharatia (0.1)"
Quant Multi Asset Allocation Fund - Direct Plan,"5,000",0.57,1.00 (15),"Sandeep Tandon (3.2), Ankit A Pande (5.2), Sanjeev Sharma (5.8), Varun Pattani (0.4), Sameer Kate (0.5), Ayusha Kumbhat (0.4), Yug Tibrewal (0.4)"
Quantum Multi Asset Allocation Fund - Direct Plan,500.00,0.41,1.00 (90),"Chirag Mehta (1.4), Sneha Pandey (0.3), Mansi Vasa (0.3)"
Quantum Multi Asset Fund of Funds - Direct Plan,500.00,0.10,1.00 (90),"Chirag Mehta (13.1), Sneha Pandey (0.3), Mansi Vasa (0.3)"
Samco Arbitrage Fund - Direct Plan,"5,000",0.38,0.25 (7),"Umeshkumar Mehta (0.7), Nirali Bhansali (0.4), Dhawal Ghanshyam Dhanani (0.7), Komal Grover (0)"
Samco Dynamic Asset Allocation Fund - Direct Plan,"5,000",0.82,1.00 (360),"Nirali Bhansali (0.4), Dhawal Ghanshyam Dhanani (1.6), Umeshkumar Mehta (1.6), Komal Grover (0)"
Samco Multi Asset Allocation Fund - Direct Plan,"5,000",0.54,1.00 (360),"Nirali Bhansali (0.6), Dhawal Ghanshyam Dhanani (0.6), Umeshkumar Mehta (0.6), Komal Grover (0)"
SBI Arbitrage Opportunities Fund - Direct Plan,"5,000",0.40,0.25 (30),"Neeraj Kumar (12.6), Ardhendu Bhattacharya (0.6)"
SBI Balanced Advantage Fund - Direct Plan,"5,000",0.74,1.00 (365),"Anup Upadhyay (0.7), Rajeev Radhakrishnan (1.7), Mansi Sajeja (1.7), Dinesh Balachandran (4)"
SBI Conservative Hybrid Fund - Direct Plan,"5,000",1.05,1.00 (365),"Mansi Sajeja (4.1), Saurabh Pant (3.6)"
SBI Equity Hybrid Fund - Direct Plan,"1,000",0.72,1.00 (365),"Rama Iyer Srinivasan (12.6), Mansi Sajeja (1.7), Rajeev Radhakrishnan (1.7)"
SBI Equity Savings Fund - Direct Plan,"1,000",1.01,0.10 (15),"Neeraj Kumar (10.2), Nidhi Chawla (3.6), Vandna Soni (1.6), Mohit Jain (0.2)"
SBI Magnum Children's Benefit Fund - Investment Plan - Direct Plan,"5,000",0.89,3.00 (364),"Lokesh Mallya (0.1), Rama Iyer Srinivasan (4.9)"
SBI Magnum Children's Benefit Fund - Savings Plan - Direct Plan,"5,000",0.85,3.00 (365),"Lokesh Mallya (0.1), Rama Iyer Srinivasan (4.5)"
SBI Multi Asset Allocation Fund - Direct Plan,"5,000",0.57,1.00 (365),"Dinesh Balachandran (3.8), Mansi Sajeja (1.7), Vandna Soni (1.6)"
SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Direct Plan,"5,000",1.06,--,"Rohit Shimpi (3.8), Ardhendu Bhattacharya (4.1)"
SBI Retirement Benefit Fund - Conservative Hybrid Plan - Direct Plan,"5,000",1.17,--,"Ardhendu Bhattacharya (4.1), Rohit Shimpi (3.8)"
SBI Retirement Benefit Fund - Conservative Plan - Direct Plan,"5,000",0.96,--,"Ardhendu Bhattacharya (4.1), Rohit Shimpi (3.8)"
Shriram Aggressive Hybrid Fund - Direct Plan,500.00,0.96,1.00 (90),"Sudip Suresh More (0.8), Deepak Ramaraju (2.9), Gargi Bhattacharyya Banerjee (8.8)"
Shriram Balanced Advantage Fund - Direct Plan,500.00,0.78,1.00 (90),"Sudip Suresh More (0.8), Gargi Bhattacharyya Banerjee (5.7), Deepak Ramaraju (2.9)"
Shriram Multi Asset Allocation Fund - Direct Plan,500.00,0.55,1.00 (90),"Sudip Suresh More (0.8), Gargi Bhattacharyya Banerjee (1.9), Deepak Ramaraju (1.9)"
Sundaram Aggressive Hybrid Fund - Direct Plan,100.00,0.68,1.00 (365),"Clyton Richard Fernandes (0.8), Dwijendra Srivastava (3.6), Sandeep Agarwal (3.6), Bharath S. (3.6)"
Sundaram Arbitrage Fund - Direct Plan,100.00,0.17,1.00 (15),"Rohit Seksaria (3.6), Ashish Aggarwal (3.6), Dwijendra Srivastava (3.6)"
Sundaram Balanced Advantage Fund - Direct Plan,100.00,0.60,1.00 (365),"Clyton Richard Fernandes (0.8), Bharath S. (3.6), Dwijendra Srivastava (3.6)"
Sundaram Conservative Hybrid Fund - Direct Plan,"5,000",1.16,--,"Bharath S. (3.2), Ashish Aggarwal (3.6), Sandeep Agarwal (12.6), Dwijendra Srivastava (12.6)"
Sundaram Equity Savings Fund - Direct Plan,100.00,0.62,0.50 (7),"Clyton Richard Fernandes (0.2), Dwijendra Srivastava (3.6), Rohit Seksaria (3.6)"
Sundaram Multi Asset Allocation Fund - Direct Plan,100.00,0.39,1.00 (365),"Clyton Richard Fernandes (0.8), Arjun G. Nagarajan (1.6), Rohit Seksaria (1.6), Dwijendra Srivastava (1.6), Sandeep Agarwal (1.6)"
Tata Aggressive Hybrid Fund - Direct Plan,"5,000",0.98,1.00 (365),"Satish Chandra Mishra (5.7), Murthy Nagarajan (8.3)"
Tata Arbitrage Fund - Direct Plan,"5,000",0.31,0.25 (30),Sailesh Jain (6.6)
Tata Balanced Advantage Fund - Direct Plan,"5,000",0.41,1.00 (90),"Rahul Singh (6.6), Sailesh Jain (6.6), Akhil Mittal (6.6)"
Tata Equity Savings Fund - Direct Plan,"5,000",0.51,0.25 (7),"Tapan Patel (2), Murthy Nagarajan (8.3), Sailesh Jain (6.7)"
Tata Multi Asset Allocation Fund - Direct Plan,"5,000",0.40,1.00 (365),"Sailesh Jain (5.5), Tapan Patel (2), Rahul Singh (5.5), Murthy Nagarajan (5.5)"
Tata Retirement Savings Fund - Conservative Plan - Direct Plan,"5,000",1.00,1.00 (1829),"Sonam Udasi (9.3), Murthy Nagarajan (8.3)"
Tata Retirement Savings Fund - Moderate Plan - Direct Plan,"5,000",0.59,1.00 (1829),"Sonam Udasi (9.3), Murthy Nagarajan (8.3)"
Unifi Dynamic Asset Allocation Fund - Direct Plan,"5,000",0.93,1.50 (360),"Saravanan V N (0.4), Aejas Lakhani (0.4), Karthik Srinivas (0.4)"
Union Aggressive Hybrid Fund - Direct Plan,"1,000",1.00,1.00 (15),"Parijat Agrawal (4.7), Sanjay Bembalkar (2.5), Vinod Malviya (0.7)"
Union Arbitrage Fund - Direct Plan,"1,000",0.46,0.25 (30),"Vishal Thakker (6.5), Devesh Thacker (6.5)"
Union Balanced Advantage Fund - Direct Plan,"1,000",0.99,1.00 (15),"Parijat Agrawal (7.6), Gaurav Chopra (0.7), Sanjay Bembalkar (2.5)"
Union Equity Savings Fund - Direct Plan,"1,000",1.46,1.00 (15),"Parijat Agrawal (7), Gaurav Chopra (0.7), Sanjay Bembalkar (2.5)"
Union Multi Asset Allocation Fund - Direct Plan,"1,000",1.01,1.00 (15),"Anindya Sarkar (0.9), Sanjay Bembalkar (0.9), Vinod Malviya (0.7)"
UTI Aggressive Hybrid Fund - Direct Plan,"1,000",1.23,1.00 (365),"Sunil Madhukar Patil (7.5), V Srivatsa (12.6)"
UTI Arbitrage Fund - Direct Plan,"5,000",0.28,0.25 (15),"Sharwan Kumar Goyal (4.6), Amit Sharma (7.1)"
UTI Balanced Advantage Fund - Direct Plan,"5,000",0.52,1.00 (365),"Anurag Mittal (2), Sachin Trivedi (2)"
UTI Children's Hybrid Fund - Direct Plan,"1,000",1.52,--,"Sunil Madhukar Patil (3.6), Sachin Trivedi (0.1)"
UTI Conservative Hybrid Fund - Direct Plan,"5,000",1.19,1.00 (365),"Jaydeep Bhowal (2.3), Amit Kumar Premchandani (3.6)"
UTI Conservative Hybrid Fund Segregated Portfolio - Direct Plan,"5,000",1.21,--,"Ajay Tyagi (5.4), Amandeep Singh Chopra (5.4)"
UTI Equity Savings Fund - Direct Plan,"5,000",0.69,1.00 (30),"Sunil Madhukar Patil (7), V Srivatsa (7)"
UTI Multi Asset Allocation Fund - Direct Plan,"5,000",0.59,1.00 (30),"Jaydeep Bhowal (0.8), Sharwan Kumar Goyal (3.7)"
UTI Retirement Fund - Direct Plan,500.00,1.02,1.00 (365),"Sunil Madhukar Patil (3.7), V Srivatsa (12.6)"
UTI Unit Linked Insurance Plan - Direct Plan,"15,000",0.96,--,"Sunil Madhukar Patil (3.7), Ajay Tyagi (10.7)"
WhiteOak Capital Arbitrage Fund - Direct Plan,500.00,0.38,0.25 (7),"Piyush Baranwal (0.9), Ramesh Mantri (0.9), Bhavin Patadia (0.7), Ashish Agrawal (0.9)"
WhiteOak Capital Balanced Advantage Fund - Direct Plan,500.00,0.50,1.00 (30),"Piyush Baranwal (2.5), Ramesh Mantri (2.5), Trupti Agrawal (2.5), Dheeresh Pathak (1.3), Ashish Agrawal (0.6)"
WhiteOak Capital Balanced Hybrid Fund - Direct Plan,500.00,0.68,1.00 (30),"Piyush Baranwal (1.8), Ramesh Mantri (1.8), Trupti Agrawal (1.8), Dheeresh Pathak (1.3), Ashish Agrawal (0.6)"
WhiteOak Capital Equity Savings Fund - Direct Plan,500.00,0.63,0.25 (7),"Piyush Baranwal (0.4), Ashish Agrawal (0.4), Bhavin Patadia (0.4), Ramesh Mantri (0.4)"
WhiteOak Capital Multi Asset Allocation Fund - Direct Plan,500.00,0.48,1.00 (30),"Piyush Baranwal (2.2), Ramesh Mantri (2.2), Dheeresh Pathak (1.3), Ashish Agrawal (0.6), Trupti Agrawal (0.2)"
Zerodha Multi Asset Passive FoF - Direct Plan,100.00,--,--,Kedarnath Mirajkar (0)
